( 39.232941 1.370024 0.110401 0.098901 0.101990 0.072245 0.058256 0.045237 0.063251 0.055799 0.016322 0.031379 0.021297 0.016437 0.020776 0.027027 0.039128 0.103624 ) 
( 38.720985 1.344523 0.093560 0.114946 0.083380 0.078433 0.058560 0.071549 0.068187 0.021081 0.012667 0.008259 0.022758 0.016089 0.003993 0.006712 0.028375 0.098657 ) 
( 31.637394 1.421667 0.091083 0.087409 0.079382 0.079262 0.043266 0.054477 0.048586 0.043404 0.016847 0.015874 0.015039 0.022232 0.010798 0.037200 0.039962 0.096235 ) 
( 38.323708 1.449298 0.107608 0.087961 0.110229 0.082754 0.063496 0.051160 0.049947 0.032850 0.049096 0.010480 0.015807 0.021226 0.023595 0.029177 0.028947 0.099716 ) 
( 36.261177 1.408198 0.093910 0.087982 0.102122 0.080212 0.069224 0.062005 0.071217 0.026280 0.034667 0.010858 0.017690 0.008740 0.017391 0.021832 0.048752 0.113476 ) 
( 40.009335 1.353351 0.074375 0.092136 0.101756 0.086534 0.073053 0.037342 0.076062 0.042653 0.023219 0.023404 0.017439 0.012165 0.014794 0.042854 0.029435 0.100206 ) 
( 34.208576 1.451787 0.103275 0.113724 0.089758 0.078437 0.068609 0.054829 0.066183 0.038364 0.005360 0.018014 0.020692 0.016818 0.018991 0.012731 0.054729 0.091805 ) 
( 37.786201 1.413786 0.095518 0.100944 0.096335 0.072956 0.052990 0.041581 0.069706 0.052983 0.017591 0.023154 0.024467 0.010309 0.004959 0.028080 0.044305 0.088963 ) 
( 39.637619 1.441658 0.096156 0.088951 0.105413 0.083158 0.061330 0.065242 0.064817 0.047305 0.015337 0.025120 0.020474 0.011459 0.013160 0.019224 0.045262 0.113206 ) 
( 39.025551 1.375325 0.117910 0.108125 0.105523 0.097102 0.062972 0.052017 0.051677 0.038175 0.017397 0.021535 0.008463 0.023583 0.011072 0.024201 0.024623 0.095101 ) 
( 39.433395 1.338252 0.102472 0.113794 0.077813 0.072833 0.065772 0.043260 0.062503 0.033629 0.038434 0.027222 0.012805 0.028311 0.024464 0.033258 0.038907 0.092875 ) 
( 33.496983 1.450957 0.100518 0.096059 0.098706 0.100887 0.059617 0.045709 0.053953 0.032542 0.021394 0.033652 0.002770 0.025915 0.009218 0.037050 0.040890 0.105475 ) 
( 30.881159 1.438485 0.101792 0.085085 0.093184 0.060472 0.080259 0.058664 0.071835 0.031923 0.038080 0.012063 0.024393 0.022750 0.017952 0.042938 0.024872 0.110927 ) 
( 33.132256 1.448281 0.094933 0.106759 0.116968 0.079156 0.068314 0.052049 0.068269 0.028851 0.016804 0.000968 0.002911 0.027478 0.018280 0.036996 0.033486 0.088091 ) 
( 32.530373 1.357741 0.115927 0.103188 0.105251 0.073214 0.051543 0.068834 0.048892 0.027301 0.039970 0.001449 0.018564 0.024540 0.021610 0.025838 0.028197 0.102001 ) 
( 32.984947 1.425646 0.118292 0.098897 0.103453 0.061702 0.060956 0.052785 0.058876 0.024052 0.030364 0.017454 0.039363 0.019444 0.028827 0.040408 0.034792 0.100323 ) 
( 40.100063 1.459981 0.084555 0.105616 0.101202 0.075499 0.079118 0.052423 0.045816 0.036645 0.005071 0.004871 0.000019 0.011901 0.037458 0.006316 0.065316 0.118778 ) 
( 23.353109 2.952338 0.093479 0.115387 0.091123 0.091314 0.104823 0.078124 0.111867 0.072145 0.029255 0.037948 0.032327 0.042412 0.033646 0.047680 0.056671 0.049368 ) 
( 23.698751 4.332061 0.067585 0.073873 0.093088 0.094219 0.101276 0.102662 0.108967 0.113816 0.111274 0.107862 0.111258 0.083496 0.099366 0.099416 0.062492 0.067252 ) 
( 25.771210 5.891244 0.081225 0.082074 0.091148 0.062262 0.057920 0.021785 0.038869 0.057643 0.077992 0.098847 0.100223 0.097951 0.094986 0.090673 0.096982 0.097275 ) 
( 31.501211 1.389054 0.098630 0.109703 0.117892 0.048112 0.047929 0.058577 0.051431 0.032614 0.024689 0.021393 0.040385 0.026423 0.018346 0.033447 0.046870 0.101760 ) 
( 35.212898 1.405736 0.104067 0.105491 0.098703 0.094231 0.051222 0.061520 0.048501 0.054442 0.017791 0.030863 0.006337 0.016238 0.029451 0.027529 0.037679 0.112513 ) 
( 34.321484 1.368824 0.102425 0.082081 0.096826 0.083726 0.068647 0.063800 0.052763 0.038097 0.018215 0.001206 0.009379 0.011371 0.023206 0.027379 0.057240 0.103507 ) 
( 30.868641 1.359507 0.098488 0.113796 0.102091 0.074711 0.057694 0.067756 0.057443 0.059966 0.010604 0.026123 0.006205 0.006927 0.037896 0.028352 0.047624 0.102422 ) 
( 35.493450 1.335606 0.091259 0.094869 0.090350 0.075570 0.062768 0.042163 0.074836 0.029565 0.015844 0.025224 0.022188 0.044893 0.015582 0.030255 0.043233 0.094641 ) 
( 30.605930 1.396314 0.105495 0.101391 0.094333 0.094353 0.055142 0.039906 0.055508 0.037103 0.023592 0.025751 0.033360 0.014224 0.024311 0.020028 0.054448 0.109130 ) 
( 32.689713 1.374679 0.087398 0.091747 0.107175 0.078567 0.054088 0.059640 0.061987 0.043891 0.042754 0.005828 -0.000572 0.010806 0.013389 0.019614 0.044773 0.099303 ) 
( 37.421402 1.392397 0.099718 0.106415 0.085485 0.089342 0.070915 0.054192 0.056060 0.034315 0.003083 0.015072 0.026751 0.020659 0.023682 0.022752 0.038613 0.099090 ) 
( 34.832672 1.324584 0.113968 0.077674 0.099649 0.088794 0.066341 0.055883 0.069027 0.031572 0.004989 0.010886 0.018336 0.032059 0.027936 0.024600 0.051368 0.113042 ) 
( 32.007385 1.370166 0.117157 0.099846 0.112616 0.072825 0.069487 0.044104 0.052120 0.032189 0.022230 0.018615 0.028502 0.032828 0.030790 0.021822 0.043518 0.082704 ) 
( 29.105663 1.363236 0.109830 0.108060 0.096014 0.058097 0.059367 0.062606 0.047989 0.034234 0.035643 0.028580 0.022289 0.025882 0.027315 0.015751 0.053683 0.119549 ) 
( 29.983187 1.421261 0.096627 0.102298 0.102748 0.072700 0.046373 0.047003 0.062680 0.029491 0.026850 0.004112 0.014738 0.007817 0.001797 0.026388 0.060326 0.095707 ) 
( 35.106441 1.393903 0.083689 0.120572 0.102174 0.077232 0.063146 0.063393 0.051594 0.031446 0.038749 0.022938 0.025002 0.024027 0.017891 0.008929 0.048569 0.106697 ) 
( 33.535419 1.379265 0.090772 0.098123 0.107944 0.076525 0.070126 0.059315 0.070471 0.040994 0.045660 0.024685 0.008387 0.010748 0.033147 0.020038 0.052019 0.101291 ) 
( 35.093796 1.410186 0.104596 0.077348 0.093881 0.068276 0.060833 0.071805 0.054418 0.052786 0.037865 0.017247 0.010291 0.023137 0.017685 0.033550 0.052626 0.094073 ) 
( 32.049652 1.413008 0.084294 0.091897 0.094637 0.068937 0.053895 0.054503 0.067599 0.030254 0.013290 0.013470 0.023911 0.020245 0.026052 0.034938 0.051519 0.092792 ) 
( 38.162685 1.343090 0.103838 0.091407 0.098731 0.072778 0.071157 0.054811 0.052311 0.052617 0.015972 0.020146 0.004978 0.018044 0.023088 0.014913 0.044315 0.089052 ) 
( 33.709373 1.368674 0.105679 0.118492 0.107176 0.070252 0.059234 0.061573 0.060553 0.037368 0.028899 0.003431 0.015132 0.001462 0.020955 0.030523 0.051439 0.113364 ) 
( 37.737015 1.397089 0.108510 0.091221 0.105396 0.071362 0.057220 0.038712 0.046556 0.035655 0.013814 0.020196 0.026794 0.016180 0.024062 0.020763 0.029777 0.119255 ) 
( 34.351707 1.417370 0.115491 0.105479 0.091911 0.053310 0.062460 0.059486 0.051973 0.020625 0.027850 0.017522 0.025030 -0.001857 0.030330 0.022077 0.036810 0.104587 ) 
( 32.049999 1.378706 0.084736 0.094736 0.114056 0.081523 0.059675 0.048209 0.069272 0.047097 0.019778 0.030499 0.037846 0.017796 0.033883 0.021160 0.051311 0.100480 ) 
( 29.970997 1.362653 0.080993 0.088473 0.097287 0.066659 0.032898 0.056196 0.067319 0.029770 0.034906 0.031374 0.028929 0.017084 0.025590 0.034035 0.053357 0.107521 ) 
